id,section_id,section_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
51,4,"Hypothesis Testing and Feature Selection","In Hypothesis Testing, what does the Null Hypothesis (H0) typically represent?","The assumption that the alternative hypothesis is true.","The default assumption that there is no effect, no difference, or no relationship.","The assumption that the p-value is exactly 1.","The conclusion that features are perfectly correlated.","B","The null hypothesis (H0) is the default assumption that there is no effect, difference, or association.","easy"
52,4,"Hypothesis Testing and Feature Selection","In hypothesis testing, if the calculated p-value is less than or equal to the significance level (alpha), what is the correct decision?","Fail to reject the null hypothesis.","Reject the null hypothesis (evidence supports the alternative hypothesis).","Ignore the test and use a different model.","Increase the significance level.","B","A p-value <= alpha provides strong evidence against the null hypothesis, so you reject it.","medium"
53,4,"Hypothesis Testing and Feature Selection","Which of the following defines a 'Filter Method' in feature selection?","It iteratively adds or removes features based on their performance with a selected machine learning model.","It integrates the feature selection directly into the model training process (e.g., Lasso).","It evaluates each feature using specific statistical measures independent of any machine learning model.","It relies purely on the missing value ratio.","C","Filter methods evaluate features using statistical measures (like Information Gain) independently of the ML model.","medium"
54,4,"Hypothesis Testing and Feature Selection","What is the primary disadvantage of Wrapper Methods compared to Filter Methods?","They are less accurate.","They are highly computationally expensive and time-consuming.","They cannot capture feature interactions.","They are model-agnostic.","B","Wrapper methods evaluate combinations by training models, making them highly computationally expensive and time-consuming.","medium"
55,4,"Hypothesis Testing and Feature Selection","Information Gain measures the reduction in what metric when a particular feature is known?","Variance","Kurtosis","Entropy (uncertainty)","Standard Deviation","C","Information Gain calculates the reduction in entropy (uncertainty) of the target variable when a feature is known.","medium"
56,4,"Hypothesis Testing and Feature Selection","The Chi-square test evaluates the association between:","Two numeric variables","One numeric and one categorical variable","Two categorical variables","A continuous target and a ranked feature","C","The Chi-square test exclusively evaluates the association between two categorical variables.","medium"
57,4,"Hypothesis Testing and Feature Selection","In the Chi-square formula, what does E_i stand for?","Entropy Index","Expected frequency","Exact variance","Error margin","B","E_i stands for the Expected frequency under the assumption of independence.","medium"
58,4,"Hypothesis Testing and Feature Selection","What does an ANOVA test determine?","The monotonic relationship between two ranked variables.","If there are significant differences between the means of three or more groups.","The exact correlation coefficient of two numeric features.","The entropy of a categorical target.","B","ANOVA checks if there are significant differences between the variances/means of three or more groups.","medium"
59,4,"Hypothesis Testing and Feature Selection","In ANOVA, what does a high F-statistic (F = MSB/MSW) mathematically indicate?","Group means are highly overlapped and not much different from the grand mean.","The variance within groups is much larger than the variance between groups.","Group means are significantly spread out compared to the variability within groups.","The features have absolutely no impact on the dependent variable.","C","A high F-statistic means the group means are spread out significantly compared to the internal group variability (MSW).","hard"
60,4,"Hypothesis Testing and Feature Selection","Which wrapper method starts with an empty feature set and iteratively adds the feature that improves model performance the most?","Backward Selection","Forward Selection","Recursive Feature Elimination (RFE)","Exhaustive Feature Selection","B","Forward selection starts empty and iteratively adds the best-performing feature.","medium"
61,4,"Hypothesis Testing and Feature Selection","Lasso regularization is an example of which type of feature selection method?","Filter Method","Wrapper Method","Embedded Method","Unsupervised Method","C","Lasso regularization embeds feature selection directly into the model training process by penalizing coefficients.","hard"
62,4,"Hypothesis Testing and Feature Selection","The Relief Algorithm evaluates a feature by analyzing the distance between a randomly selected instance and what two other points?","The mean and the median.","The 'near-hit' (same class) and 'near-miss' (different class) nearest neighbors.","The local outlier factor and the centroid.","The maximum and minimum values of that feature.","B","Relief evaluates features based on distances to the nearest neighbor of the same class (near-hit) and different class (near-miss).","hard"
63,4,"Hypothesis Testing and Feature Selection","In the Relief Algorithm weight update formula, if a feature's value is very different from its 'near-hit', what happens to the feature's weight?","It is penalized (subtracted).","It is rewarded (added).","It is multiplied by the arithmetic mean.","It remains unchanged.","A","If a feature value is very different from its near-hit, it fails to group same-class instances and is penalized (weight subtracted).","hard"
64,4,"Hypothesis Testing and Feature Selection","The Dispersion Ratio is an Unsupervised Feature Selection technique calculated as:","Mean / Standard Deviation","Variance / Mean","Arithmetic Mean / Geometric Mean","Median / Mode","C","The Dispersion Ratio is the Arithmetic Mean (AM) divided by the Geometric Mean (GM).","hard"
65,4,"Hypothesis Testing and Feature Selection","Which statistical test is specifically used to compare the mean accuracy of two classifiers on a validation set?","Chi-square test","t-test","Durbin-Watson test","Variance Thresholding","B","A t-test is used to compare the mean accuracy of two classifiers on a validation set.","medium"
66,4,"Hypothesis Testing and Feature Selection","Which unsupervised feature selection method removes features that cross a predefined threshold of missing data?","Dispersion Ratio","Missing Value Ratio","Recursive Feature Elimination","Information Gain","B","The Missing Value Ratio simply evaluates the proportion of missing data to remove sparse features.","easy"
67,4,"Hypothesis Testing and Feature Selection","If you have limited computational resources and a massive dataset, which feature selection technique is the most practical choice?","Exhaustive Feature Selection (Wrapper)","Recursive Feature Elimination (Wrapper)","Filter Methods (e.g., Information Gain, Chi-Square)","Backward Selection (Wrapper)","C","Filter methods are fast, computationally inexpensive, and ideal for large datasets with limited resources.","medium"
68,5,"Interpretable Models (Linear and Logistic Regression)","The basic equation for a Linear Regression model is:","y = sum(w_i * x_i) + b","y = log(x / (1-x))","y = 1 - sum(p_i^2)","y = sqrt(SSB / SST)","A","The linear regression model equation calculates predictions as y = sum(w_i * x_i) + b.","easy"
69,5,"Interpretable Models (Linear and Logistic Regression)","In a Linear Regression model, if a numeric feature X1 increases by 1 unit, what happens to the predicted outcome y?","It increases exponentially.","It increases or decreases exactly by the feature's weight (w1).","It increases by the intercept (b).","It is unaffected unless other features also change.","B","A 1-unit increase in a numeric feature changes the predicted output directly by that feature's assigned weight (w_i).","medium"
70,5,"Interpretable Models (Linear and Logistic Regression)","Which linear regression assumption states that the variance of the residuals must remain constant over the entire feature space?","Linearity","Normality","Homoscedasticity","Independence","C","Homoscedasticity is the assumption that the variance of the residuals remains constant over the feature space.","medium"
71,5,"Interpretable Models (Linear and Logistic Regression)","To validate the Linearity and Homoscedasticity assumptions of a Linear Regression model, which diagnostic plot is used?","Q-Q Plot","Boxplot","Residual Plot against predicted values","Pair Plot","C","A residual plot displaying residuals against predicted values validates linearity and homoscedasticity.","medium"
72,5,"Interpretable Models (Linear and Logistic Regression)","When analyzing a Residual plot, what pattern indicates that the Homoscedasticity and Linearity assumptions are MET?","Residuals form a clear curved pattern.","The spread of residuals increases in a cone shape as predicted y increases.","Residuals are randomly scattered around zero with no clear pattern.","Residuals cluster tightly into two distinct modes.","C","Random scatter around zero with no pattern confirms that linearity and constant variance assumptions hold.","medium"
73,5,"Interpretable Models (Linear and Logistic Regression)","Which diagnostic plot is specifically used to validate the 'Normality' of residuals in a linear regression model?","Scatter plot with a regression line","Residual Plot","Q-Q Plot","Joint Distribution Plot","C","A Q-Q plot specifically validates the normality of the residuals.","medium"
74,5,"Interpretable Models (Linear and Logistic Regression)","In a Q-Q plot, how do the points appear if the residual data is perfectly normally distributed?","They form a bell curve.","They align tightly along a straight, diagonal line.","They form a curved line resembling an S.","They are randomly scattered in all four quadrants.","B","In a Q-Q plot, normally distributed residuals align tightly along a straight, diagonal theoretical line.","medium"
75,5,"Interpretable Models (Linear and Logistic Regression)","The Durbin-Watson Test is used to check for the presence of what in a regression model?","Homoscedasticity","Multicollinearity","Normal distribution of errors","Autocorrelation (testing the Independence assumption)","D","The Durbin-Watson test checks for autocorrelation, validating the independence assumption.","hard"
76,5,"Interpretable Models (Linear and Logistic Regression)","The Durbin-Watson statistic falls on a scale from 0 to 4. What does a score of exactly 2 suggest?","Perfect positive autocorrelation.","Perfect negative autocorrelation.","No autocorrelation (errors are independent).","The residuals are perfectly normally distributed.","C","A Durbin-Watson score of exactly 2 (or near 2) indicates no autocorrelation.","hard"
77,5,"Interpretable Models (Linear and Logistic Regression)","If a linear regression model receives a Durbin-Watson statistic significantly less than 2, what does this indicate?","The presence of positive autocorrelation.","The presence of negative autocorrelation.","High multicollinearity between features.","A violation of the linearity assumption.","A","A Durbin-Watson score less than 2 indicates the presence of positive autocorrelation.","hard"
78,5,"Interpretable Models (Linear and Logistic Regression)","Which statistical test is used to measure the significance of each individual regression coefficient in a linear regression model?","ANOVA F-test","Chi-Square test","t-test (t-statistic)","Uncertainty Coefficient","C","A t-test (using a t-statistic) is used to measure if a specific regression coefficient is significantly different from zero.","medium"
79,5,"Interpretable Models (Linear and Logistic Regression)","Logistic regression is primarily used for which type of machine learning task?","Predicting a continuous numeric variable.","Binary classification (outputting a probability between 0 and 1).","Unsupervised clustering.","Dimensionality reduction.","B","Logistic regression is used for binary classification, outputting a probability between 0 and 1.","easy"
80,5,"Interpretable Models (Linear and Logistic Regression)","In Logistic Regression, the 'odds' of an event occurring are calculated as:","log(y_hat / (1 - y_hat))","The ratio between the probability of an event occurring and the probability of it not occurring.","The natural logarithm of the predicted probability.","1 - y_hat","B","The odds are the pure ratio between the probability of the event occurring (y_hat) and not occurring (1-y_hat).","medium"
81,5,"Interpretable Models (Linear and Logistic Regression)","The log-odds (logit function) maps the linear equation to probabilities. The mathematical expression for the log-odds is:","1 - sum(p_i^2)","log(y_hat / (1 - y_hat))","e^(w^T * x)","y_hat / (1 + y_hat)","B","The log-odds (logit) function is the natural logarithm of the odds ratio: log(y_hat / (1-y_hat)).","hard"
82,5,"Interpretable Models (Linear and Logistic Regression)","In a Logistic Regression model, what is the effect of a feature having a positive coefficient weight (w_i > 0)?","An increase in that feature decreases the log-odds and the probability of the outcome.","An increase in that feature increases the log-odds and the probability of the outcome.","The feature has zero impact on the final outcome.","It makes the decision boundary non-linear.","B","A positive weight means an increase in the feature increases the log-odds, thereby increasing the probability of the outcome.","medium"
83,5,"Interpretable Models (Linear and Logistic Regression)","To test the significance of coefficients in a Logistic Regression model, which statistical test is typically used with large sample sizes?","t-test","Z-test","F-test","Durbin-Watson test","B","Because coefficients approach a normal distribution in large samples, a Z-test is used for logistic regression coefficients.","hard"
84,6,"Tree-based Models and RuleFit","A Decision Tree is classified as what type of machine learning algorithm?","Parametric, unsupervised","Parametric, supervised","Non-parametric, supervised","Non-parametric, unsupervised","C","A Decision Tree is a non-parametric, supervised learning algorithm.","medium"
85,6,"Tree-based Models and RuleFit","In a Decision Tree structure, what does a 'leaf node' represent?","A feature","A decision rule","The root of the dataset","A final outcome or prediction","D","A leaf node represents the final outcome or prediction of the decision path.","easy"
86,6,"Tree-based Models and RuleFit","The ID3 decision tree algorithm uses which mathematical measures as its splitting criterion?","Gini Impurity and Variance Reduction","Entropy and Information Gain","Gain Ratio","Mean Squared Error","B","ID3 uses Entropy and Information Gain to find the attribute that best separates the data.","medium"
87,6,"Tree-based Models and RuleFit","The C4.5 algorithm is an extension of ID3. What does it use as its splitting criterion to avoid favoring features with many unique values?","Gini Impurity","Cost Complexity","Variance Reduction","Gain Ratio","D","C4.5 uses the Gain Ratio, which normalizes Information Gain to handle features with many unique values fairly.","hard"
88,6,"Tree-based Models and RuleFit","The CART algorithm constructs what specific type of tree structure?","Multi-way split trees only.","Strictly binary trees.","Unsupervised clustering trees.","Deep neural networks.","B","CART (Classification and Regression Trees) generates strictly binary trees (exactly two children per node).","medium"
89,6,"Tree-based Models and RuleFit","For classification tasks, the CART algorithm determines the 'best' split using which mathematical criterion?","Entropy","Gain Ratio","Gini Impurity","Variance Reduction","C","For classification, CART uses Gini Impurity to minimize the probability of misclassification.","medium"
90,6,"Tree-based Models and RuleFit","The mathematical formula for Gini Impurity is:","1 - sum(p_i^2)","sum((y_i - y_bar)^2) / N","log(p_i)","AM / GM","A","Gini Impurity is calculated as 1 - sum(p_i^2), where p_i is the proportion of elements in class i.","medium"
91,6,"Tree-based Models and RuleFit","If a node contains only instances of a single class, what is its Gini Impurity score?","1","0.5","0","-1","C","A pure node (only one class) has a Gini Impurity score of exactly 0.","easy"
92,6,"Tree-based Models and RuleFit","For a binary classification problem, what is the Gini Impurity score if elements are perfectly uniformly distributed (equal instances per class)?","0","0.5","1","0.25","B","If uniformly distributed between 2 classes, the Gini score is 1 - (0.5^2 + 0.5^2) = 0.5.","hard"
93,6,"Tree-based Models and RuleFit","When the CART algorithm is used for Regression tasks, what criterion does it use to find the best split?","Gini Impurity","Information Gain","Entropy","Variance Reduction","D","For regression, CART evaluates splits by finding the maximum Variance Reduction.","medium"
94,6,"Tree-based Models and RuleFit","In the CART algorithm for regression, the Variance Reduction is mathematically calculated as:","Parent variance + Child variances","Left variance / Right variance","Parent variance - Child variances","MSB / MSW","C","Variance Reduction is calculated by subtracting the weighted variance of the child nodes from the parent node's variance.","hard"
95,6,"Tree-based Models and RuleFit","Which technique stops a decision tree from growing before it reaches its full extent to avoid overfitting?","Pre-pruning (Early stopping)","Post-pruning","Bagging","Bootstrapping","A","Pre-pruning (early stopping) limits tree growth based on strict criteria like max depth to avoid overfitting.","medium"
96,6,"Tree-based Models and RuleFit","Random Forest is an ensemble technique that merges multiple decision trees. For a classification task, how does a Random Forest generate its final prediction?","By averaging the predictions of all trees.","By selecting the tree with the lowest depth.","By using majority voting across all trees.","By calculating the Gini impurity of the combined trees.","C","For classification, Random Forest aggregates the individual tree predictions using majority voting.","medium"
97,6,"Tree-based Models and RuleFit","Random Forests use a technique called 'Bagging' to create training subsets. What does Bagging (Bootstrap Aggregation) specifically involve?","Sampling the data without replacement.","Sampling the data with replacement.","Using only the most important features for every tree.","Dropping rows with missing values.","B","Bagging relies on Bootstrap sampling, which means sampling the training data with replacement.","medium"
98,6,"Tree-based Models and RuleFit","The RuleFit algorithm works by integrating decision trees with which other type of model?","Deep Neural Networks","Support Vector Machines","Sparse Linear Models (e.g., Lasso)","K-Nearest Neighbors","C","RuleFit extracts decision paths from trees and fits a sparse linear model (like Lasso) using those paths as variables.","hard"
99,6,"Tree-based Models and RuleFit","In the RuleFit algorithm, how are the rules extracted from the decision trees utilized?","They are converted into binary features (1 if the rule applies, 0 otherwise) and fed into a linear model.","They are used to recursively prune a separate random forest.","They calculate the Gini impurity of the entire dataset.","They are discarded in favor of raw numerical data.","A","Rules extracted from trees are converted into binary features (0 or 1) and fed into the linear equation.","hard"
100,6,"Tree-based Models and RuleFit","What is a primary advantage of the RuleFit algorithm over standard linear models?","It requires zero computational power.","It automatically captures and adds feature interactions to the linear model.","It relies entirely on unsupervised learning.","It completely eliminates the need for any feature selection.","B","RuleFit automatically captures complex feature interactions from trees and makes them interpretable within a linear model.","hard"
